#汉字	近音同调	近音异调
一		
乙		
丁	祯增厅诊贞真针桢斟缯臻珍听砧憎榛侦甄汀曾箴	诊缜怎挺赠赈疹震霆梃振亭廷阵婷蜓枕鸩朕艇听娠镇停庭
翻	蚶和鼾酣	憾悍旱颌含函韩汉榦汗颔涵銲翰撼罕捍瀚喊寒焊
职		訾紫籽淄渍锱梓咨兹字姿子孜资谘龇玆吱仔恣滓缁赀孳辎滋髭自
聂	洌冽烈猎裂列劣鬣捩	咧
脐	棘戢疾击辑寂集脊及嫉借唧急伋吉圾即楫瘠汲吃亟籍级极岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪蹟基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技勣稽既悸跻系叽济鲫戟骥饥
膑	病并并摒并	丙柄秉兵鉼屏禀冰饼炳
旧	教溴袖鞘跷酵窖效笑肖壳窍孝岫醮峭啸较俏秀撬锈轿诮校宿叫傚嗅臭觉绣翘	毬嚣朽巧雀跷修哮皎消娇邱鹊箫蕉囚羞秋逍浇饺撬跤球狡筿鲛硝销橇胶脩仇搅瞧宿蛟萧宵桥教蚯枭樵憔悄姣裘骄侥削焦詨龟霄骁角愀泅交椒嘐求乔咻梂丘礁较勦敲晓郊脚缴谯铰小酋锹绞侨潇矫剿秋休鳅学翘嚼
藏	场長谌晨尘苌幛赈涔震尝障涨辰振沉尝徜沈胀阵常仗岑裳肠枕鸩偿帐杖朕丈陈宸娠账忱臣嫦镇瘴	场長畅獐诊倡真缜斟疹珍榇疢漳涨瞋氅枕伥昌桢蟑璋娼谶琛厂甄彰章贞猖敞怎趁唱砧榛侦参称祯衬鲳针樟臻掌怅张箴
萨	霎厦煞	杀傻砂杉鲨莎裟纱煞沙
蓝	南楠喃难男	赧囝难
藐		谬
借	蟹歧切琪齐琦蓆耆棋懈骑妾窃燮楔惜祺绁祁邂屉期祇洩媳祈屑枝息谢亵锡锜昔褶淇其旗骇惬麒习洩脐畦鳍崎榭圻奇岐解衹怯卸械泻契席熄挈锲檄袭	烯斜嬉玺洗细胁析乞歇漆迄夕茄歙气曦悉熹犀汐萋蜥稀谐伽希欺汽熙柒矽喜企稽且牺悽潟契憩系撷奚七砌勰僖携切邪膝蠍妻颉溪岂绮弃碛启系器栖讫慼蟋羲起蹊协淅愒禧系挟行翕凄戏隙鞋吸徙血晰畦兮杞鳃写厘些谿譆亟唏晞嘻西泣偕戚缉
薰	钧龟军凶君兄均汹匈胸凶	炯窘隽郡峻濬迥雄俊浚熊骏蕈竣菌
荠	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉蓆琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆慼息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜譆谿稽牺唏嘻悽晞西席熄奚戚七袭檄僖
薹		迨黛大贷怠逮岱待玳带呆殆代戴袋歹
荐	现欠僩霰岘腺馅羡堑縴宪献歉倩限蚬苋陷县线	干签纤涎黔铣舷衔暹啣千钤秈嵌祆鲜仟咸縴仙骞虔谦牵搴贤钱前遣显嫌愆铅千箝迁签谴咸钳癣娴险阡姗闲闲絃弦蚬潜浅掀先藓
蛲	柔蹂揉鞣	肉
蝉	残惭蚕	孱惨餐璨灿参
虫	淳鹑醇纯唇淙脣从丛存	吋囪村春忖寸匆皴葱枞蠢从聪
蟠		
覆	瓠互户沪楛沍护扈	壶胡鹄蝴胡琥湖葫囫弧虎许斛瑚惚唬乎戏呼糊忽狐
觐	竟颈靖信彊芯降静磬橡沁巷省奖酱醒饷兴庆响幸竞亲匠幸乡呛讲揿象璟桨顷想抢项径境景罄劲警径繈享绛性井像痉净向寝镜蒋憬杏敬衅阱悻姓飨请将向相强	青靖彊祥馨降静情倾镶浆橡陉兴幸新亲形疆惺乡呛揿氢璟香想硎径清欣江罄腔擎劲蜻擒更鲭繈型绛旌钦僵湘像鲸痉勤向荆蒋憬瓖辛寻阱悻腥请将相强枪邢竟墙颈泾信枪心粳芯精秦羌刑磬噙巷沁厢省琴奖缰酱訢芹茎醒饷庆响竞莘匠幸讲星经象桨顷抢项昕境惊景锌睛详襄锵姜警蔷行翔径禽兢侵享檠晴樯晶京性井净卿寝镜庠菁轻薪杏嵚戕敬衅姜姓飨箱猩向
觞	桑砷信申莘伸呻娠深身森参绅丧	嗓哂审甚渗沈肾蜃沁婶脤神丧慎沈
谟		
谨	醒颈饷景井响警寝蒋憬讲繈阱璟享省飨桨请顷奖想抢强	青靖彊祥馨降静情倾镶浆橡陉兴幸新亲形疆惺乡呛揿氢香硎径清欣江罄腔擎劲蜻擒更鲭型绛旌钦僵湘像鲸痉勤向荆瓖辛寻悻腥将相强枪邢竟墙泾信枪心粳芯精秦羌刑磬噙巷沁厢琴缰酱訢芹茎庆竞莘匠幸星经象顷抢项昕境惊锌睛详襄锵姜蔷行翔径禽兢侵檠晴樯晶京性净卿镜庠菁轻薪杏嵚戕敬衅姜姓箱猩向
谬	妙缪庙	缈描渺瞄杪苗邈秒杳藐眇
谪	则择泽贼责笮啧窄咋	仄侧怎
丰	棻氛吩纷分芬亨哼	恒痕分汾恨很份狠坟粪焚奋桁忿愤衡横粉
赘	罪最蕞醉	堆嘴
蹙	怵矗处畜黜歜绌触	出出锄储除杵础跦楮厨褚雏处橱躇楚初刍
蹒		
蹦	笨	畚奔本贲苯
踪	盅忠钟肫衷终樽忪屯谆中尊钟遵	踵仲众准塚圳俊湩中肿重准塚撙种
蹟	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖譆谿漆牺慼蟋唏羲嘻悽晞西奚戚蹊七僖	歧琪齐蓆琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄
跸		
躯	车驹俱狙拘疽锯沮居蛆	苣炬飓具桔巨钜倨剧遽屦距俱侷掬聚据龃咀莒举惧踞瞿橘跼局句菊锯沮足鞠拒矩
转	纂赚钻	纂赚钻
辙	则择泽笮咋策恻测册厕侧责贼窄啧	仄侧怎
迩		
邃	蜕税说睡	谁水
邈		谬
医		
酱	信烬芯劲缙橡巷沁进尽晋像噤向仅禁尽觐乡浸呛衅象揿近项相向	枪墙枪彊心祥馨芯秦降羌筋镶谨噙厢琴訢巾芹饷响新亲津尽莘觐乡斤呛香锦想抢昕今欣锌详矜襄锵腔蔷襟擒翔筋禽侵瑾繈享樯钦馑金湘勤紧仅禁寝庠薪嵚浸瓖辛戕寻飨箱将相强
厘	妮尼畸姬畿霓其玑羁呢肌倪犄饥疠鸡矶乩几积唧箕几奇讥激绩期机屐嵇迹稽怩勣蹟基泥跻叽居饥	洎棘暨疾忌溺你祭集己脊昵骑借芰剂你几记瘠楫觊纪逆匿计级极腻妓冀戢击寄辑寂给蓟及嫉际几唧麂旎继挤伋急荠吉季圾稷即髻霁汲技拟吃亟既泥悸跻籍系睨岌济鲫戟骥
镕		闰润
镑	笨	畚奔本贲苯
锁		数硕勺铄蟀说朔烁帅率妁
钨	裕瘉滪御域吁妪瘀驭喻狱玉欲誉禺熨昱峪燠愈寓愈谕御谷郁淤预迂语遇与纡煜欲芋育聿尉俞堉郁豫浴毓	瘉滪妤域瘀娱宇驭狱逾昱峪燠褕蝓竽雨雩渝觎预迂渔语于纡与煜龉噢欲芋育余余俞欤堉郁豫羽虞毓裕盂御隅吁妪榆敔喻愚鱼玉欲圉誉禺熨禹屿舆愈寓愈愉谕圄御谷郁淤腴遇臾谀庾圩聿尉瑜予萸于浴
镍	洌冽烈猎裂列劣鬣捩	咧
镇	政胀挣证仗長証正幛脏帐赠葬杖藏丈障账郑症涨奘瘴帧	睁拯脏長征铮獐正筝怎狰缯峥赃憎怔漳涨曾挣增癥蟑樟争璋整臧蒸征掌臜丁诤章彰张
镐	厚后堠鲎逅候后	篌吼芣猴否缶侯喉
镒		
镉	咳壳	轲课稞渴克髁柯蚵瞌嗑恪客溘坷棵磕可喀科克窠缂刻苛颗蝌
锤		催萃翠璀瘁粹衰淬摧橇悴崔脆
枪	江金矜姜亲津禁筋襟疆筋嵚斤浸浆侵姜将缰僵钦巾今	彊烬秦降劲擒缙禽谨噙沁瑾琴进绛奖酱芹尽馑晋勤紧噤仅禁尽寝匠觐蒋浸讲揿桨将锦近强
阖		
闯	忖寸吋蠢	鹑吋村春淳忖寸皴醇蠢唇纯脣存
阗		奠甸店颠点碘典靛玷佃惦滇电钿淀殿垫巅癫
阙	倔嗟	獗蹶劂角孓诀掘鴃抉鳜决谲嗟脚倔玨崛爵攫觼觉蕨绝厥噱嚼
离	妮尼泥霓呢倪怩	昵泥睨腻溺你拟你旎匿逆
杂	扎闸炸札扎	栅喳搾扎砟诈咋乍查搾眨炸渣咤蚱
双	飧荪孙	舜吮损榫笋盾瞬潠顺
雏		粗镞趋错促卒槭蹴蹙簇醋趣
鸡	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖譆谿漆牺慼蟋唏羲嘻悽晞西奚戚蹊七僖	歧琪齐蓆琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄
霤	尿廖燎拗料了	寮缭聊潦扭寥撩疗妞辽僚嘹燎了暸钮鸟纽牛忸了嬝袅
鞣	蛲娆饶桡	绕扰
秋	教啾跷姣骄纠娇焦詨揪鸠椒交蕉礁浇跤敲撬郊鲛胶橇锹蛟	巧雀跷皎厩鹊灸窍醮峭九究旧俏饺舅撬轿狡诮疚搅韭瞧赳久觉桥教樵鞘救憔悄姣窖玖纠就侥角愀壳乔柩较臼勦咎酒脚缴谯铰校绞叫侨矫剿翘嚼
鞭		
韹	馄珲混浑魂	荤辊混昏浑婚
额		
颜		
题	荻镝迪的嘀狄敌犒翟芽笛涤嫡	滴低缔底帝的地蒂第氐牴娣砥递谛弟柢棣邸抵诋
颚		
颛	钻	纂赚钻
飏	垠夤吟银鄞龈淫檐寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓
馏	尿廖燎拗料了	寮缭聊潦扭寥撩疗妞辽僚嘹燎了暸钮鸟纽牛忸了嬝袅
馊	艘骚收缫捎烧搔稍梢	熟守狩寿芍受绶哨少手兽杓瘦韶召授售勺首邵绍扫嫂
餽	桂鳜跪柜贵	鲑皈规傀鬼闺龟圭癸珪轨诡瑰晷归
餮		碟跌耋牒迭蝶爹绖谍喋叠
馥	瓠互户沪楛沍护扈	壶胡鹄蝴胡琥湖葫囫弧虎许斛瑚惚唬乎戏呼糊忽狐
骑	棘疾集脊借妻细弃碛系器楫瘠讫迄夕级极歙气戢愒击系辑汐寂翕戏隙及嫉唧伋急汽吉圾即矽企汲吃亟潟泣契籍憩系岌砌缉	歧洎玑烯暨嬉祭耆脊惜乩剂祺玺积洗几析祁乞绩祇机屐祈迹嵇觊纪枝漆基锡居锜冀曦悉熹旗犀萋给犄麒蜥稀饥希几欺麂继挤崎奇熙季柒稷髻霁技喜勣稽牺既悽悸跻系席奚熄七鲫僖携琪羁齐忌琦蓆肌膝棋己芰妻鸡矶溪岂绮记启期媳栖蹟息慼蟋羲起计蹊妓昔褶畸姬淅畿淇其禧寄行蓟凄疠际吸习唧徙脐箕晰畦鳍兮荠杞圻鳃讥激岐衹厘谿譆唏晞嘻西戚叽济戟骥饥檄袭
髁	铬各个箇	郃哥歌咯格戈骼疙个镉蛤搁割胳革隔阁膈合鬲葛鸽
鬃	盅忠钟肫衷终樽忪屯谆中尊钟遵	踵仲众准塚圳俊湩中肿重准塚撙种
松	飧荪孙	舜吮损榫笋盾瞬潠顺
魏		
魉	懔凛	痳霖麟鳞娘您蔺林娘邻燐淋磷吝躏酿辚遴临赁琳璘
魍	允吻陨稳刎	员玟耘文闻孕瘟熨温愠芸塭云韵雯纹运紊蚊筠昀晕酝抆蕴氲汶纭匀问云免
鲨	撒	萨卅洒撒飒
鲤	你拟你旎	尼妮霓呢溺怩倪逆匿昵泥睨腻
鲫	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉蓆琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆慼息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜譆谿稽牺唏嘻悽晞西席熄奚戚七袭檄僖
鯈	潮嘈巢朝槽嘲漕曹晁	草凑辏勦钞剿糙吵炒操超抄
鲧	矿共犷倥汞廾梱巩孔捆恐綑广拱	矿共倥旷琨工锟狂蚣硿困况躬筐框功釭弓龚控公圹攻诳宫焜红崆眶昆恭空劻匡髡逛肱困洸胱贡坤供光昆
鹃	萱喧圈壎煖暄轩晅宣谖	铉蜷甽漩炫绚渲诠铨选佺踡全璿泉旋玄拳悬卷还犬权眩劝畎荃券痊县
鹅		
鹄	氟缚匐苦夫蝠绋扶芾幅楛孚弗辐绂袱福浮伏符菔拂涪怫彿服芙俘	富窟馥覆附肤鈇俯酷复府腑夫腐哭頫甫阜枯骷腹赙副复傅釜敷付抚斧孵莆赴妇趺辅咐父麸脯赋库裤负驸伕讣
黠	浃荚戛颊夹挟	嘉架假夏钾加葭稼家甲迦驾价痂贾袈夹茄豭嫁佳胛家
鼕	蹲通吞墩恫敦惇	钝铜桐僮恸豚潼屯筒臀统沌饨瞳同褪囤峒桶彤痛顿遁炖趸吨童盾盹
鼬	乐要钥耀药拗曜鹞	要淆哟夭崤咬谣杳瑶侥窈尧摇邀洮吆舀榣腰肴姚幺遥肴窑妖爻
儳	孱璨灿	残惨餐惭蚕参
咽		
坏		
垄		论浓沦哝伦轮脓弄仑秾侬仑抡农纶
坜	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
宠	忖蠢	鹑吋囪村春淳醇葱皴寸匆枞唇纯淙脣从丛存聪
庞	盆	喷
庐	榈奴闾驽驴	努弩铝绿律吕缕褛膂女氯旅娄怒侣滤屡虑忸履率
惩	谌岑晨尘涔宸陈娠忱臣曾辰沉层沈	谶榇称衬疢琛趁瞋参
怀		
懒	赧	南楠喃囝难男
懵	们门扪	焖们懑门闷扪
攀		
拢		论浓沦哝伦轮脓弄仑秾侬仑抡农纶
旷	困逛棍困	犷辊鲧琨焜滚锟昆梱衮捆髡綑广洸胱坤光昆
曝		
橱		粗镞趋错促卒槭蹴蹙簇醋趣
椟	徒凸荼余涂酴屠突图途	秃土兔吐菟
榈	芦炉卢奴驽庐胪鑪鲈泸颅	卤掳戮麓女噜怒鹭录穋禄赂弩努路鲁露卤鹿橹僇碌氯陆虏忸
橹	努弩铝吕缕膂褛女旅娄侣屡履	榈绿律氯奴怒闾驽滤驴虑忸率
瀛	垠夤吟银鄞龈淫檐寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓
潇	教啾修姣骄纠娇焦詨揪椒交鸠咻羞蕉礁浇跤郊鲛脩胶蛟休	溴朽袖皎厩灸醮九究旧秀饺舅轿狡疚搅韭宿赳嗅久觉教救姣窖纠玖就侥角岫柩较臼勦咎锈酒脚缴铰校绞叫臭剿矫绣嚼
濑	耐奈	乃奶氖奈乃
瀚	贩氾汎犯范饭梵泛范	繙礬番反藩蕃墦樊凡烦翻钒返幡繁帆
沥	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
濒	枰兵屏瓶坪评凭萍平冰冯苹	丙秉并禀饼乒柄病屏鉼娉并摒并炳
泸	榈奴闾驽驴	努弩铝绿律吕缕褛膂女氯旅娄怒侣滤屡虑忸履率
爆		
烁		梭锁娑嗦所缩莎唆琐蓑索簑
牍	徒凸荼余涂酴屠突图途	秃土兔吐菟
犊	徒凸荼余涂酴屠突图途	秃土兔吐菟
兽	召邵绍扫哨嗽少	叟芍骚烧少杓飕韶嗾艘搜勺薮馊蒐缫捎扫擞搔稍嫂梢
獭	大	瘩答搭打达鞑褡靼怛跶
玺	几脊己挤几济戟给麂	洎棘玑羁暨疾忌肌祭集脊骑借芰鸡矶乩剂积几记绩期机屐瘠楫迹嵇觊纪蹟基计级极居妓冀畸戢姬畿其击寄辑寂犄蓟及饥嫉疠际几唧箕继急伋荠奇吉讥激季圾稷即髻霁汲技稽勣吃亟既悸跻籍系岌叽济鲫骥饥
琼	群裙	隽炯窘郡峻濬迥俊钧龟浚军君均骏蕈竣菌
瓣		
畴	潮嘈巢朝槽嘲漕曹晁	草凑辏勦钞剿糙吵炒操超抄
疆	枪欣枪锌心馨芯矜襄锵腔羌筋襟筋镶侵厢訢钦巾新金湘亲津禁莘乡薪嵚斤浸呛瓖辛箱香将抢相昕今	墙信彊祥烬芯秦降缙谨噙橡沁巷进琴芹饷响噤尽觐乡呛象揿近想抢锦项详劲蔷擒翔禽瑾繈享樯尽馑晋像勤紧向仅禁寝庠浸寻戕衅飨向相强
瘪		
痴	疵雌差	辞赐此疵次祠雌词伺茨厕瓷刺慈磁
蒙	们门扪	焖们懑闷
碍		
祷	陡讨枓斗蚪抖	涛萄焘韬桃豆偷头梼淘窦都洮滔透读斗脰痘逃兜啕絛陶套掏饕投逗
获		
稳	拥往踊泳永魍蓊涌勇允惘蛹甬臃网俑陨枉罔辋咏涌壅恿	拥员佣雍翁佣耘嗡亡孕王臃熨用尢愠芸忘云韵鄘望慵运筠旺甕昀妄晕庸酝蕴氲纭汪匀邕云壅
帘	黏年	念辇碾念拈廿撵辗撚捻涊
簿		
簸		
签	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建硷睑茧饯鉴鉴涧贱捡拣俭荐
檐		
籀	皂棹噪肇罩骤炤造奏诏晁召揍赵譟照兆灶躁櫂燥	钊鄹澡遭朝昭藻邹沼爪蚤糟枣晁陬召着走招嘲凿早啁找
系	洎暨忌祭骑妻芰剂细弃碛系记器讫纪觊迄夕计歙妓冀气愒系寄汐翕蓟戏隙际继荠汽季稷髻霁矽企技亟既潟泣契悸跻憩砌济鲫缉骥	歧玑烯疾嬉耆脊惜乩祺玺积洗几析祁乞绩祇机屐楫祈迹嵇枝漆基极级锡居锜曦悉熹旗击犀萋给犄麒蜥稀饥及希几欺麂挤伋崎奇熙柒汲喜勣稽牺悽跻籍席奚熄七僖携棘琪羁齐琦蓆肌集膝棋己骑借妻鸡矶溪岂绮启期媳瘠栖蹟息慼蟋羲起蹊昔褶畸戢姬淅畿淇其禧辑寂行凄嫉疠吸习唧徙脐箕晰畦鳍兮急杞圻鳃吉讥激岐圾衹即厘谿譆吃亟唏晞嘻西岌戚叽济戟饥檄袭
茧	显蚬癣险铣浅鲜遣谴藓	签干纤岘馅涎黔倩限苋舷暹衔啣千钤秈现祆嵌鲜羡咸仟縴献仙歉骞虔陷谦牵搴县贤钱欠僩前堑嫌愆铅千箝迁签咸钳霰娴阡姗腺闲絃闲宪弦蚬潜掀先线
绎		
绳	甚神	砷信渗申僧肾呻伸身沁参绅慎沈哂审甚沈莘深娠蜃森婶脤
绘		
罗	挪娜	诺懦糯
缴	九朽巧雀悄酒筿晓玖纠小愀韭鹊赳宿灸久	毬溴嚣袖啾跷修哮消厩邱揪箫肖鸠窍囚峭羞究秋逍旧俏秀撬舅球诮硝疚销橇脩仇瞧宿嗅傚萧宵桥蚯枭樵鞘憔救酵裘削纠就效笑龟霄骁泅壳嘐求乔孝咻岫梂柩丘啸臼敲咎锈谯酋锹校侨臭潇秋休鳅绣学翘
羶	三参	伞散糁
羹	跟吭铿阬根坑	垦艮龈啃亘肯恳
羸		内馁哪
腊	纳那钠呐讷娜捺	那拿哪
藩	涵函含韩榦汗寒	憾悍旱颌和汉汗颔銲翰撼蚶罕捍鼾瀚喊酣焊
艺		
薮	守首扫手少嫂	寿受哨绶售邵绍缫搔稍熟狩芍骚收烧少兽杓韶瘦召授艘勺扫捎梢
藕	媪袄	鼇凹鏖奥嗷遨敖澳熬懊翱拗傲聱
籐		灯登瞪嶝凳等磴蹬邓
药	幼鼬诱宥右柚祐有侑莠又囿佑釉	游幽黝犹猷游攸油悠由牖铀有邮友疣莠酉尤优鱿忧
藷	租	卒肃苏诉素嗾酥甦稣族溯塑诅苏粟俎组俗蓿簌宿祖缩速足嗉阻夙
蚁		
蝇	垠夤吟银鄞龈淫檐寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓
蠍	阶揭皆偕结街嗟接	捷芥拮桔截诘节杰桀疥借诫孑颉碣姊劫栉解羯讦竭戒睫界撷结洁借姐杰介届
蟹	戒芥疥界借诫解借介届	捷阶拮皆桔街截诘节杰桀揭孑颉接碣姊劫栉解嗟羯讦竭睫偕撷结洁姐杰
蟾	残惭蚕	孱惨餐璨灿参
裆	汤镗	烫瑭躺糖搪塘帑膛淌唐傥镗螳醣趟堂棠倘
襟	枪青泾枪心粳馨芯精羌倾镶浆厢缰訢茎兴新亲莘疆惺乡星呛经氢香顷抢昕清欣惊江锌睛襄锵姜腔蜻更兢鲭侵晶旌钦僵京湘鲸卿荆菁轻薪嵚瓖辛姜腥箱将猩相	邢竟墙颈靖信彊祥芯降秦静情倾刑磬橡噙巷沁省陉琴奖酱芹醒饷兴庆响幸竞亲形匠幸乡讲呛揿象璟桨顷抢想项硎径境景详罄擎劲警蔷擒行翔禽径繈享檠型晴绛樯性井像痉勤净向寝镜庠蒋憬杏敬戕寻衅阱悻姓飨请将相向强
袄	偶藕耦呕	瓯欧区鸥殴呕噢
襞		
哗		
谱		
识	赐祀恣泗渍肆兕食饲字巳嗣伺耜似孳寺驷俟姒四自	訾紫淄籽锱厮鸶梓咨兹撕姿子丝思孜资死谘玆龇吱仔滓司缁赀私孳斯辎嘶滋髭
证	震阵娠鸩枕赠镇朕赈振	祯增枕诊贞缜真怎针桢斟缯疹臻珍砧憎榛侦甄曾箴
谭		箪诞丹淡蛋石惮撢弹但啖胆啗疸氮旦担耽单澹
谲	瘸穴学	穴雪薛靴确雀阙恪怯削却缺阕鹊壳榷血噱
讥	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖譆谿漆牺慼蟋唏羲嘻悽晞西奚戚蹊七僖	歧琪齐蓆琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄
譆	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹勣稽蹟基跻叽居饥	洎棘疾暨忌祭集脊己骑借芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥
谯	仇毬酋泅求裘球梂嚼囚	啾皎娇厩邱揪鸠灸醮蕉九究秋旧浇饺舅跤轿狡鲛疚胶搅韭赳蛟久觉教蚯救姣骄窖玖纠就侥焦詨龟角交椒柩丘礁较臼勦咎酒郊脚缴铰校绞叫矫剿秋鳅
赠	政阵挣证証鸩正枕朕赈震娠郑症镇振帧	睁拯征铮正诊贞缜筝真怎狰斟疹峥珍砧怔侦榛挣祯枕癥针桢争臻整蒸征丁甄诤箴
赞	战颤湛占站暂佔绽栈蘸	崭詹谵占毡霑瞻盏沾辗斩展
蹼		
蹲	冬通吞鼕恫东咚	铜桐僮栋恸豚洞潼屯筒臀动懂统饨瞳同囤褪峒董桶彤痛恫胴冻童
躇		粗镞趋错促卒槭蹴蹙簇醋趣
蹶	雪瘸穴学	穴雪薛靴确雀阙恪怯削却瘸缺阕鹊壳榷学血噱
蹬		滕籐籐誊疼腾
跷	蚯教啾救姣窖骄就纠娇厩焦邱詨龟揪椒交鸠醮柩蕉丘究秋礁较旧浇臼舅跤咎轿郊疚鲛胶校叫蛟觉秋鳅	毬啾皎娇厩邱揪鸠灸醮蕉囚九究秋旧浇饺跤舅球轿狡鲛疚胶仇搅韭赳蛟久觉蚯教救姣裘骄窖纠玖就侥焦詨龟角泅椒交求梂柩丘礁较臼勦咎酒郊脚缴铰酋校绞叫剿矫秋鳅嚼
蹴	怵矗处畜黜歜绌触	出出锄储除杵础跦楮厨褚雏处橱躇楚初刍
辚	柠咛菱娘粱良櫺娘翎聆昤粮绫灵羚梁伶龄蛉樑您狞凝玲宁拧鸰泠苓凌陵量凉铃零	领拎谅俩魉拧佞令晾酿两量另凉泞辆亮岭
轿	溴袖鞘救跷酵就效厩笑肖壳窍孝岫柩峭究啸旧俏秀臼撬舅咎锈诮疚校宿傚嗅臭绣翘	毬嚣朽啾巧雀跷修哮消邱揪鹊箫鸠灸囚羞九秋逍撬球筿硝销橇脩仇瞧韭赳宿萧久宵桥蚯枭樵憔悄裘削纠玖龟霄骁愀泅求乔嘐咻梂丘敲酒晓谯小酋锹侨潇秋休鳅学翘
辞	持弛驰池踟匙迟墀栘	赤炽翅褫啻尺耻蚩痴呎侈痴叱敕吃齿斥嗤魑饬笞喫
边		
邋	拿	纳那钠哪呐讷娜捺
酦		
醮	溴袖鞘救跷酵就效厩笑肖壳窍孝岫柩峭究啸旧俏秀臼撬舅咎锈诮疚校宿傚嗅臭绣翘	毬嚣朽啾巧雀跷修哮消邱揪鹊箫鸠灸囚羞九秋逍撬球筿硝销橇脩仇瞧韭赳宿萧久宵桥蚯枭樵憔悄裘削纠玖龟霄骁愀泅求乔嘐咻梂丘敲酒晓谯小酋锹侨潇秋休鳅学翘
镜	信烬芯罄劲缙磬沁进性兴尽庆幸晋噤亲仅禁尽觐幸浸杏衅悻揿姓近	青邢心馨芯秦情筋刑倾谨噙省陉琴訢巾芹醒兴新亲津尽莘形觐惺斤星氢顷锦硎昕今清欣锌矜擎蜻襟擒行筋禽鲭侵瑾檠型晴钦馑金勤紧卿仅禁寝轻薪嵚浸辛寻腥请猩
镝	题堤蹄啼隄缇提	悌屉体剃嚏剔涕梯踢替锑逖惕
铲	惨	残孱餐惭璨灿蚕参
镞	怵矗处畜黜歜绌触	出出锄储除杵础跦楮厨褚雏处橱躇楚初刍
链	念念廿	辇碾黏拈撵年辗撚捻涊
镗	儅当铛裆当	儅党当铛挡讜裆当荡荡档
镘		
鏖		瓯偶欧区鸥藕殴耦呕噢
镖		
镙	挪娜	诺懦糯
锵	江金矜姜亲津禁筋襟疆筋嵚斤浸浆侵姜将缰僵钦巾今	彊烬秦降劲擒缙禽谨噙沁瑾琴进绛奖酱芹尽馑晋勤紧噤仅禁尽寝匠觐蒋浸讲揿桨将锦近强
镂	耨烙劳酪闹络	佬铙唠牢痨老姥捞劳瑙挠恼脑呶桡
铿	更跟粳羹庚耕根赓	更垦耿埂艮龈啃梗亘肯恳哽
錾	战颤湛占站暂佔绽栈蘸	崭詹谵占毡霑瞻盏沾辗斩展
关	宽髋	梡款
陇		论浓沦哝伦轮脓弄仑秾侬仑抡农纶
